EMBAYMENT NAME,Category,tidal.flushing,unhardenable.uncorrected,total.shoreline,unhard.std,hard.of.hard,high.intensity,stormwater,StormwaterSTD,pop.density,percent.septic,septic.acre,nutrient,bacteria,tidal.restrict,percent.sm,smacres.km,tidalflats.shoreline,seagrass,tidalflat.openwater
JONES RIVER / KINGSTON BAY,4,8.9,1.573018022,26.27383791,5.987012736,18.8312831,49.9875013,2449.219005,2.55,2.044261688,61.05155137,1.248053475,0,99.7522025,2.446717336,94.98691937,12.28635592,30.17295251,12.57643574,0.97418138
LITTLE HARBOR,4,15,6.045733355,13.98745556,43.22253845,24.81677263,47.35847025,508.5935997,3.05,1.661955525,46.36574479,0.770578057,0,100,58.06537514,51.85066945,18.83622091,18.08532026,0,22.46862161
MERRIMACK RIVER,4,8.6,2.174919441,109.7970487,1.980854191,8.315449192,29.0921289,4800.936599,0.9,2.104001304,11.20033271,0.235655146,0,100,30.66609692,81.68528644,32.10044592,22.15043365,0,16.98028159
NAMSKAKET CREEK / LITTLE NAMSKAKET CREEK,2,2.7,0,8.255382097,0,0,22.42904274,849.834431,1.57,0.569167491,71.81813237,0.408765462,0,10.5266797,0.003242318,58.88091776,56.44394013,93.11251903,0.878317692,31.57938795
NEPONSET RIVER / DORCHESTER BAY,3,13.2,0.890185006,46.26528076,1.924088628,38.10638264,81.90874955,12983.8433,0.28,19.47621654,0,0,0,100,48.09600388,73.81700153,18.26430692,34.63391906,0,11.96409166
NORTH RIVER/ SOUTH RIVER,4,5,0,,0,5.533085547,32.9,4959.092846,0.52,1.051898852,55.21,0.580729936,0,100,84.41010686,95.11802013,20.29694036,9.23,0,9.23
PAINE'S CREEK / STONY BROOK,2,1.4,1.584669509,4.473080549,35.42680467,0,20.67918047,601.1114066,2.1,0.6540718,92.64453448,0.605961774,15.26101605,0,18.95759751,68.19321321,38.60427733,97.4444595,1.915892213,42.89719647
PAMET RIVER / LITTLE PAMET RIVER,4,3.7,2.232356389,12.93190381,17.26239556,4.436,14.28763169,319.0110922,1.41,0.196139898,98.09701439,0.192407384,0,100,36.11018259,62.06253512,39.0551225,93.19221058,27.54308863,1.226491235
PARKER RIVER,4,6.2,0.166737061,126.8421126,0.131452447,0.44322,21.50201563,2985.553918,0.66,0.33787447,57.12133934,0.192998423,0,99.53387375,77.46333564,98.84489905,17.80228684,3.596321355,0,0.122492524
PLUM ISLAND SOUND,4,9.3,0,186.1230919,0,0.488209972,0.105194616,3263.2,0.39,0.201052336,0.498351505,0.070067535,0,99.94740106,27.08733599,85.48428344,60.62095231,24.16674353,0,2.090139918
PROVINCETOWN HARBOR,1,31.8,0,26.45418443,0,36.57557099,18.2628617,1582.485353,0.19,0.79825183,51.10699555,0.407962527,0,98.73338722,0,34.347853,44.13882518,54.03068485,27.43789401,8.915011375
QUIVETT CREEK,2,3.3,2.574963374,5.583925141,46.11385914,0,19.62156616,309.4756257,0.71,0.599691371,81.40602288,0.488184894,0,100,0.451554638,77.40813265,97.36174712,100,0,49.43188318
ROCKPORT HARBOR (SANDY BAY),1,70.5,5.065440699,9.708361311,52.17606285,74.69,47.55690746,822.3185897,0.7,2.901960617,51.17110532,1.484965324,0,96.74840507,0,0,0,0,0.774447879,0
ROWLEY RIVER,4,5,0,80.68736376,0,0,14.10942095,1081.841767,3.73,0.278396534,85.74032209,0.238698085,0,100.0000073,27.15578849,100,16.67488697,4.926723291,0,0.748484789
SALEM SOUND,3,36,21.789358,118.977377,18.31386651,42.63742324,57.47100572,14138.65999,1.71,3.36,0.00007102,0.00000239,0,98.12482562,63.15261191,40.29155068,8.823094676,NA,9.460664225,11.63615801
SANDWICH HARBOR,4,2.9,0,26.25486835,0,9.686,19.57491104,1824.829638,1.01,0.564758661,100.1607161,0.565666319,0,65.44053148,2.196471097,80.34584456,30.21944879,72.6518025,0.228641986,2.967602847
SAUGUS RIVER / PINES RIVER / LYNN HARBOR,3,21.1,4.051695413,88.09315003,4.599330835,30.4358,65.97058343,11889.71735,0.75,12.98581352,0,0,0,99.99999745,96.51506153,95.20105851,18.17915762,26.76066624,11.18539616,10.07387714
SCITUATE HARBOR,4,10,0,12.91502765,0,55.14975248,56.16621628,1014.591961,0.91,2.532847581,49.61689401,1.2567203,0,100,53.57662323,75.77471639,23.39219198,6.137185544,2.367053695,13.95758172
SCORTON CREEK,4,2.2,0,18.96756066,0,1.405038148,25.90896931,1226.009965,0.69,0.872581693,102.2278997,0.892021938,0,11.64657431,48.35503234,78.83953947,27.43651329,77.73181388,0,0.563184846
SESUIT CREEK / SESUIT HARBOR,4,7.8,0.061566693,4.510229431,1.365045702,37.59221268,47.85915179,281.8769511,0.94,0.983785357,104.0659883,1.023785954,0,12.84212146,4.973117813,100,22.09588549,61.22952023,0,2.202598705
WEIR RIVER / STRAITS POND,3,9,3.78712364,25.5355979,14.83076157,46.33249767,38.08428782,1342.125664,2.35,2.003072788,8.944249036,0.179159818,0,100,47.6253483,89.61557665,13.67936045,43.63765248,0,0.320264115
WELLFLEET HARBOR,2,11.3,9.887992663,65.86142897,15.01332846,9.691161826,14.23461997,1800.133783,1.33,0.268274035,85.97653512,0.23065272,0.003862686,5.879092747,1.011742068,71.4534739,34.41668342,89.5211974,15.13538681,15.69696214
